No,Title,BodyPart
411,30 Flat Bench Leg Raise,Abdominals
412,30 Flutter Kick,Abdominals
413,Chin-up crunch,Abdominals
414,30 Gorilla Chin Oblique Crunch,Abdominals
415,Half Turkish get-up,Abdominals
416,30 Hanging Oblique Crunch,Abdominals
417,30 Hollow-Body Hold,Abdominals
418,Parallel bars knee raise,Abdominals
419,30 Landmine Twist,Abdominals
420,Parallel bars leg raise,Abdominals
421,Otis-up-,Abdominals
422,30 Shoulder Tap,Abdominals
423,30 Spider Crawl,Abdominals
424,Spider crunch,Abdominals
425,Toe-touch,Abdominals
426,30 Hanging Toes-To-Bar,Abdominals
427,30 V-Up,Abdominals
428,Cocoon crunch,Abdominals
429,Bench oblique crunch,Abdominals
430,Full moon-,Abdominals
431,Push-up to side plank,Abdominals
432,Tyler Holt V-Up,Abdominals
433,Tyler Holt Plank,Abdominals
434,Tyler Holt Hip-Dip,Abdominals
435,Suicides,Abdominals
436,Holman Towel Straight Plank Jack,Abdominals
437,Holman Towel Hill Climber,Abdominals
438,Holman Towel Elbow Plank Jack,Abdominals
439,Holman Towel Elbow Plank Pike,Abdominals
440,Holman Towel Straight Plank Hand Reach,Abdominals
441,Holman Towel Wax-On Wax-Off,Abdominals
442,Holman Towel Wide Hill Climber,Abdominals
443,Holman Towel Dirty Dog,Abdominals
444,Holman Straight Plank Shoulder Tap,Abdominals
445,Holman Killer Abs,Abdominals
446,Holman Straight Plank Split Jack,Abdominals
447,Holman Elbow Plank Swim,Abdominals
448,Holman Elbow Plank Saw,Abdominals
449,Holman Feet-Elevated Straight Plank Toe-Tap Series,Abdominals
450,Holman Elbow Plank Pike Pull,Abdominals
451,Holman Hand-Elevated Walk-Over Push-Up,Abdominals
452,Holman Hands-Elevated Hill Climber,Abdominals
453,Holman Seated Pike,Abdominals
454,Holman Feet-Elevated Up-Down Plank,Abdominals
455,Holman Feet-Elevated Hand Tap,Abdominals
456,Holman Reverse Straight Plank with Alternating Heel Pull-In,Abdominals
457,Holman Elbow Plank,Abdominals
458,Holman Straight Plank Squat Thrust,Abdominals
459,Holman Alternating Single-Leg Pike,Abdominals
460,Holman Knee Pull-In Crunch,Abdominals
461,Holman Straight Plank with Hand Tap,Abdominals
462,Holman Straight Plank with Dirty Dog,Abdominals
463,Holman Elbow Plank Roll,Abdominals
464,Holman Froggy Push-Up,Abdominals
465,Holman Straight Plank Hand Tap to Shoulder Tap,Abdominals
466,Holman In-Out Straight Plank,Abdominals
467,Holman Bicycle,Abdominals
468,Holman Alternating Diagonal Knee Pull-in,Abdominals
469,Holman Elbow Plank with Step-Out,Abdominals
470,Holman Alternating Slow L-Raise,Abdominals
471,Holman Feet-Elevated Plank with Shoulder Tap,Abdominals
472,Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,Abdominals
473,Holman Feet-Elevated Up-Down Elbow Plank,Abdominals
474,Holman Feet-Elevated Plank Pike Pull,Abdominals
475,Holman Feet-Elevated Alternating Single-Leg Hip Raise,Abdominals
476,Holman Feet-Elevated Plank Pike Pull to Push-Up,Abdominals
477,Holman Standing Heel Click,Abdominals
478,Holman Straight Plank Right-Left Jack to Split Jack,Abdominals
479,Holman Elbow Plank Jack to Ninja Knees,Abdominals
480,Holman Right Side Elbow Plank with Left Leg Swing,Abdominals
481,Holman Left Side Elbow Plank with Right Leg Swing,Abdominals
482,Holman Straight Plank with Alternating Diagonal Sit-Back,Abdominals
483,Holman Boat Press with Leg Extension,Abdominals
484,Holman Shoulder Tap to Dirty Dog,Abdominals
485,Holman Standing Russian Twist,Abdominals
486,Holman Hovering Plank with Shoulder Tap,Abdominals
487,Holman Elbow Plank to Stacked Plank Hip Drop,Abdominals
488,Holman Elbow Plank to Walk-Up Pike,Abdominals
489,Holman Hill Climber,Abdominals
490,Holman Straight Plank Pike to Renegade Row,Abdominals
491,Holman Alternating Hip Drop to Push-Up,Abdominals
492,Holman Crab Kick,Abdominals
493,Holman Wounded Bear Crawl,Abdominals
494,Holman Alternating Crab Reach,Abdominals
495,Holman Hovering Panther Core Stabilizer,Abdominals
496,Holman Burpee to Forward Lunge,Abdominals
497,Holman Seated Knee Pull-In Series,Abdominals
498,Holman Elbow Plank Pike,Abdominals
499,Holman Elbow Plank Jack to Straight Plank Split Jack,Abdominals
500,Holman Boat Pull-Over,Abdominals
501,Holman Squat Pulse to Plyometric Jump,Abdominals
502,Holman Hands Down Heel Click,Abdominals
503,Holman Straight Plank to Kick-Up,Abdominals
504,Holman Hands-Elevated Split Jack,Abdominals
505,Holman Feet-Elevated Plank Reach,Abdominals
506,Holman Hand-Elevated Side Plank Semicircle,Abdominals
507,Holman Hands-Elevated Straight Plank Pike,Abdominals
508,Holman Alternating Rolling Elbow Plank,Abdominals
509,Holman Elbow Plank Jack,Abdominals
510,Holman Squat Thrust to Alternating Knee-In,Abdominals
511,Holman Supine Double Pike,Abdominals
512,Holman Elbow Plank Alternating Pike,Abdominals
